±¸¹Ì°ü¸Áµµ TEST v3
Network Table - Nodes
                        	Elevation       	Base Demand     	Initial Quality 	Demand          	Head            	Pressure        	Quality         
 Node ID                	m               	CMD             	                	CMD             	m               	m               	                
Junc A084               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A092               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A094               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A095               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A096               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A097               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A098               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A099               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A100               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A101               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A102               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A103               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A104               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A105               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A106               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A107               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A108               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A109               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A111               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A112               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A113               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A114               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A115               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A116               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A117               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A118               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A119               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A120               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A121               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
